[I 2024-12-03 05:05:57,699] Using an existing study with name 'SST-2-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:04,410] Trial 137 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5973736469945329, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41946052633916214, 'global_pooling': 'max', 'learning_rate': 0.0012420954341620801, 'weight_decay': 6.278651230241999e-05, 'beta_0': 0.8342667813506597, 'beta_1': 0.9897271852962058, 'epsilon': 2.0944852661910325e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[TRIAL] 243 [VALIDATION PERFORMANCE] 0.9243119266055045 [TRAINING LOSS] 0.21575094280107057 [VALIDATION LOSS] 0.22057504744993317 

number                                     243
value                                 0.924312
params_threshold                       0.65332
params_attention_heads                      11
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                           51
params_dropout_rate                   0.455502
params_early_stopping_patience              21
params_epochs                               61
params_global_pooling                      max
params_hidden_dimension                    178
params_learning_rate                  0.000872
params_number_of_hidden_layers               3
params_plateau_divider                       3
params_plateau_patience                     11
params_weight_decay                   0.000053
params_beta_0                         0.834434
params_beta_1                         0.990323
params_epsilon                        0.000003
user_attrs_epoch                           4.0
user_attrs_training_loss              0.215751
user_attrs_validation_loss            0.220575
Name: 243, dtype: object
37 Val: 0.9151376146788991 Test: 0.9209225700164745
38 Val: 0.9128440366972477 Test: 0.9220208676551346
39 Val: 0.911697247706422 Test: 0.9203734211971444
40 Val: 0.9231651376146789 Test: 0.9258649093904449
41 Val: 0.9139908256880734 Test: 0.9181768259198243
42 Val: 0.9220183486238532 Test: 0.9137836353651839
43 Val: 0.9185779816513762 Test: 0.9181768259198243
44 Val: 0.9128440366972477 Test: 0.9159802306425041
45 Val: 0.9197247706422018 Test: 0.9264140582097748
46 Val: 0.9151376146788991 Test: 0.9242174629324547
Validation performance: 91.17 & 91.65 ± 0.41 & 92.32
Testing performance: 91.38 & 92.06 ± 0.42 & 92.64

[TRIAL] 194 [VALIDATION PERFORMANCE] 0.9220183486238532 [TRAINING LOSS] 0.1972027484040994 [VALIDATION LOSS] 0.20609367969963285 

number                                     194
value                                 0.922018
params_threshold                      0.623862
params_attention_heads                      13
params_balanced_loss                     False
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                          108
params_dropout_rate                   0.510023
params_early_stopping_patience              20
params_epochs                              129
params_global_pooling                      max
params_hidden_dimension                    155
params_learning_rate                  0.002052
params_number_of_hidden_layers               3
params_plateau_divider                       3
params_plateau_patience                     12
params_weight_decay                   0.000045
params_beta_0                         0.886764
params_beta_1                          0.99898
params_epsilon                        0.000002
user_attrs_epoch                           8.0
user_attrs_training_loss              0.197203
user_attrs_validation_loss            0.206094
Name: 194, dtype: object
slurmstepd: error: *** JOB 14051914 ON gpu032 CANCELLED AT 2024-12-03T17:06:05 DUE TO TIME LIMIT ***
