Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:00,691] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:56,016] Trial 146 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6271186508002639, 'batch_size': 205, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523201568725973, 'global_pooling': 'max', 'learning_rate': 0.0015886096861535731, 'weight_decay': 0.0005680471842307092, 'beta_0': 0.8189821496792518, 'beta_1': 0.9966650625341859, 'epsilon': 2.616372779039178e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
38 Val: 0.9185779816513762 Test: 0.9275123558484349
39 Val: 0.9220183486238532 Test: 0.9302580999450851
40 Val: 0.9151376146788991 Test: 0.9308072487644151
41 Val: 0.9151376146788991 Test: 0.929159802306425
42 Val: 0.9277522935779816 Test: 0.9247666117517848
43 Val: 0.9220183486238532 Test: 0.9253157605711148
44 Val: 0.9185779816513762 Test: 0.9203734211971444
45 Val: 0.9139908256880734 Test: 0.9280615046677649
46 Val: 0.9197247706422018 Test: 0.9253157605711148
Validation performance: 91.4 & 91.94 ± 0.41 & 92.78
Testing performance: 92.04 & 92.67 ± 0.31 & 93.08

[SST-2] Elapsed time: 689.9909881234169 minutes.
